deg_level,deg_subject,cfa,exp,size,ret_3y,pct_pron
1,1,1,27,754963970.4,6.292148,18.60%
0,1,1,18,747578933.5,4.657616,21.82%
0,0,1,33,742575758,9.227797,27.06%
1,1,0,16,727376782,9.371737,19.57%
0,0,1,18,721067472.1,9.816289,26.34%
1,1,1,14,714735881.1,8.803331,27.29%
2,0,0,13,699527018.4,11.66551,25.56%
0,0,0,16,689747926,17.113882,24.48%
0,1,1,18,654875251.7,11.559391,14.63%
0,0,0,24,639835615.9,7.515298,21.05%
1,1,0,38,615775641.7,9.71452,20.00%
0,1,1,18,613300144.7,,28.48%
1,1,0,23,603364570.3,10.329377,22.70%
1,1,0,17,585527733.2,9.853674,17.74%
1,1,1,36,580809029.8,5.173902,16.67%
1,1,1,32,571201563.3,10.023723,25.97%
2,0,0,13,570727959,11.434156,24.44%
1,1,1,27,567564090.6,5.42328,18.68%
1,1,1,24,557299771.5,10.577306,28.89%
1,1,1,32,554106680.4,9.834598,28.89%
0,0,1,23,519488412,9.662689,26.39%
1,1,1,22,518340677.1,11.200351,27.91%
1,1,1,20,516334230.6,6.600366,29.41%
1,1,0,27,516317756.5,10.285117,34.25%
0,1,1,9,491903695.8,5.015778,20.21%
1,1,1,34,484598763,8.85558,21.21%
1,1,1,20,477904899.9,12.118781,29.69%
0,0,0,17,470878208.9,16.019814,25.00%
1,1,0,14,460758330,9.292602,18.52%
0,0,0,26,457175172.5,13.87302,25.00%
1,1,0,29,454539147.7,11.839207,28.57%
1,1,0,23,446289972.9,12.579535,21.15%
1,1,1,32,434398438.2,6.072452,21.95%
0,1,0,21,398501020.3,9.99357,26.32%
0,0,0,12,394423479.4,7.327015,14.89%
1,1,1,33,392295397.9,9.675929,22.58%
1,1,1,33,384844388.4,9.37724,31.58%
1,1,0,32,381917308.9,11.605844,26.10%
0,0,0,27,381680730.6,11.678159,9.68%
0,0,1,18,371545053.5,7.153916,20.59%
1,1,0,27,365900349.9,10.963705,33.72%
0,0,1,20,348057761.2,7.637278,22.27%
1,1,0,14,338167217.5,0.975747,20.00%
1,1,1,20,322972332.2,10.346138,33.33%
0,0,1,21,321502022.7,11.984251,27.78%
1,1,0,20,312312776.6,13.123713,22.73%
0,1,0,26,312076698.2,10.794547,27.92%
1,1,1,25,307784906.2,9.482749,18.18%
1,1,0,23,307172389.4,7.457327,25.00%
1,0,0,31,306276730.9,8.100199,25.97%
0,1,0,25,304469282.5,14.279618,17.65%
1,1,0,38,302768214.9,9.628339,16.67%
1,1,0,30,301390391.6,10.600182,24.56%
1,1,1,19,296617553.7,11.210616,23.20%
2,1,1,42,292037236.9,8.855147,25.42%
1,1,1,24,285262403.1,12.814387,27.62%
0,0,1,28,275142211.1,3.941716,26.39%
1,1,0,38,273746136.1,5.661096,30.26%
1,1,0,16,270985487.2,12.039347,20.37%
1,1,1,24,269481171,10.794123,28.95%
0,0,0,12,268224375.2,,23.00%
1,1,0,22,267199356,4.204549,20.21%
2,1,0,10,265684966.8,11.683338,23.40%
1,1,1,23,264428708,9.916855,25.34%
1,0,1,19,263661473.4,7.333175,25.32%
0,0,0,12,263194452.1,7.400151,18.63%
0,0,1,22,262746095.6,20.289973,30.95%
0,1,1,33,262406104.8,7.332689,15.79%
0,1,0,36,249760047.3,8.205353,24.77%
1,1,1,30,249094626.1,6.561335,32.10%
1,1,0,39,244935987.6,9.96548,10.71%
1,1,1,22,242445088.3,5.867733,20.72%
1,1,1,22,241546752.8,14.105461,22.03%
1,1,1,14,223327986.9,15.869202,23.44%
1,0,0,33,223295691.9,6.529811,29.49%
2,1,1,34,220450679.8,11.378349,25.33%
0,1,0,21,213721821.7,13.543704,17.86%
0,0,0,26,209780435.2,14.564155,27.12%
1,1,1,25,202710948.8,,14.63%
1,1,1,17,202179765.5,4.215915,25.53%
1,1,0,28,196872217.9,7.584104,26.76%
1,1,1,32,195144838.1,16.593561,31.37%
1,1,0,30,193779106.2,11.582827,23.81%
1,1,1,26,192456212,9.587017,26.03%
1,1,1,25,187605968.7,9.357849,18.18%
1,1,1,26,187466716.7,13.02335,18.37%
1,1,1,34,185403232.5,8.427651,20.78%
0,0,0,17,178962482.8,19.776953,37.68%
2,1,1,23,178705824.3,16.300942,32.93%
1,1,0,36,176391369,6.985969,22.03%
1,1,1,26,176114871.4,10.020212,12.50%
1,1,1,14,173648688.6,7.662341,24.82%
1,1,1,34,167566146.9,11.875295,26.19%
1,1,0,27,166243291.6,13.27303,27.03%
1,1,0,29,165477076.8,,32.20%
1,1,0,13,157762428.6,,12.12%
1,1,0,30,154505780.6,8.135339,29.79%
0,0,0,34,151485643.2,3.530657,22.86%
1,1,1,17,149318382.7,,29.70%
0,0,0,20,143890342.4,1.681286,50.00%
1,1,1,49,142474228.5,11.180602,25.37%
1,1,0,38,142398175.6,8.404442,27.49%
1,1,1,26,138270504.9,5.434076,29.09%
2,1,1,23,135678728,13.439424,24.07%
1,1,1,33,134225685.3,9.439152,29.31%
1,1,0,29,131795621.7,9.686835,26.79%
0,1,1,24,130230962.5,11.457889,27.91%
1,1,0,28,129220257.5,10.455841,27.38%
0,1,1,18,128766136.3,,20.83%
0,0,1,30,128364703,1.894295,25.00%
1,1,0,25,125685973.7,20.141473,24.56%
1,1,0,33,124866570.9,10.177416,32.50%
